Topic,Category,Department,question,answer
Minor in Possession (MIP),Municipal Court/Traffic Violations,Municipal Court ,Are MIP tickets from other courts or states counted toward the total?,"It is up to the city prosecutor's office to decide which records to check when searching for prior MIP cases. You will not know until you come to court on your court date what plea bargain offer (Deferred Prosecution, Deferred Judgment, no offer) is being made in your case."
Minor in Possession (MIP),Municipal Court/Traffic Violations,Municipal Court ,How much money should I expect to pay?,"The amount of money you will be required to pay on your court date will depend on your individual circumstances, including whether you have a prior MIP case. The list below indicates the typical court fines and fees for common MIP situations. First MIP - $100  Second MIP - $190  Third or subsequent MIP - Varies For defendants facing their first or second MIP charge, the associated fees are due on your court date. If you do not have payment on the day of court, you will have to come back for another court date. These costs do not include the cost of whatever alcohol/drug treatment program is ordered."
Minor in Possession (MIP),Municipal Court/Traffic Violations,Municipal Court ,Not Guilty Pleas: What if I am not guilty of the MIP charge?,"If you believe you are not guilty of the MIP charge, you must still come to court on your scheduled court date. At that time, you will have two options. Option one: Get a new court date to meet with a prosecutor to explain why you believe you are not guilty of the charge. After that meeting, you can set your case for trial, if necessary. Optioon two: Plead not guilty and set your case for trial without first meeting with a prosecutor. You are entitled to have either a judge or a jury decide your case."
Minor in Possession (MIP),Municipal Court/Traffic Violations,Municipal Court ,Attorneys: What if I want to consult an attorney about my case?,"You are always entitled to consult with and/or hire an attorney. If you are a CU student, you may wish to consult with an attorney at Student Legal Services, which offers reduced rates. The court will not appoint a free attorney to represent you. For more information about how CU Legal Services can help you, click on this link CU Legal Services  Information for attorneys with local clientsDue to the volume of MIP cases, typical municipal court procedures will not be implemented when an attorney enters his/her appearance in a MIP case. You will not automatically be scheduled for a Dispo/Trial Setting (pretrial conference). Instead, you must attend the MIP arraignment session. If you have a conflict with the scheduled court date, the court will reset you for another MIP arraignment session. At MIP arraignment sessions, the court gives a general advisement and then processes cases by groups in the following order: third and subsequent offenders, second offenders, and first offenders. Let the court clerk know the name of your client when you arrive, as attorney cases within each group will be called first. If you want to know ahead of time which group/plea offer applies to your client, contact the city prosecutor's office. The prosecutor should know what plea offer is being extended to your client one to two business days before the arraignment date.   If your client decides not to take the plea bargain offered at arraignment, you may then set the case for Dispo/Trial Setting with the court and schedule a pretrial conference with the prosecutor. Alternatively, your client may plead not guilty and you can set the case for trial. Information for attorneys with out-of-state/area clientsIf your client lives more than several hours from Boulder, the court may waive the appearance of your client. However, if your client wants to take advantage of a Deferred Prosecution or Deferred Sentence offer, your client must appear to enter into the agreement, pay the associated fees, and be personally advised by court staff of his or her obligations under the agreement and due dates for completing those conditions. The court will waive your client's appearance and allow you to enter into the Deferred Prosecution or Deferred Sentence agreement on behalf of your client only if all of the following conditions are met: 1.  You provide proof on the day of court that your client has already completed an appropriate alcohol/drug treatment class; 2. If applicable (Deferred Sentences), you provide proof on the day of court that your client has already completed the requisite number of community service hours at a location acceptable to the court; and 3. You make payment of all associated fees on the court date. If you have an eligible client and you intend to enter into a Deferred Prosecution or Deferred Sentence on behalf of your client, you will be allowed to enter your appearance and continue the arraignment to a date when you can appear with these conditions."
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,"If I am the only employee who will work for/drive the MFV, do I need worker's compensation insurance?",Worker's compensation insurance is not required by the City of Boulder for a MFV license. Please see the example certificate of insurance on the website to ensure you have the proper required coverage.
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,How do I show proof of insurance for a trailer towed behind a vehicle?,"Please provide a certificate of insurance showing the required coverage (at least the state of Colorado minimum coverage). Speak with your insurance agent to ensure you have the appropriate coverage for your vehicle type and use. Please explain the catering versus serving from the MFV rules. Ice cream trucks and food trucks are regularly invited to private parties and serve from the truck. There are events at people's homes—weddings, birthdays—where the guests can line up at the truck and get the product."
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,"How is it different if someone in a residential area invites a MFV in front of their house to serve ice cream at a child's birthday, or a wedding where guests line up to get food at the reception?","What is being describing is not legal and should not be happening. Catering is not allowed to occur in this manner. Just because something is happening illegally doesn't mean that someone is immune to the city's requirements. The City does not agree with this reasoning, as the description of the uses of the catering are illegal as well, so that cannot justify the same action by a MFV—it is illegal in both scenarios. It's not clear where MFVs are actually allowed. A few example of where trucks CAN be in the city would be really helpful. Please review the maps that are available online, where you will find plenty of examples where the food trucks are allowed. It is up to you, the business owner, to determine the location where you would like to operate."
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,Do I need a MFV license if I want to sell snacks or food for non-humans?,"The MFV license is only for food for human consumption. Also, please be aware of the laws that would apply to the item you would like to sell, and the location where you would like to sell. There are other laws that would prevent you from selling any item in certain locations, and where it is allowed, a specific permit may be needed."
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,May I apply for a MFV license to sell items at City of Boulder Open Space & Mountain Parks (OSMP) trailheads?,There is a general prohibition against selling anything at City of Boulder OSMP trailheads. Please familiarize yourself with the maps provided on the attached link which show potential MFV areas.
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,May I apply for a MFV license to sell items at City of Boulder Parks managed by the Parks & Recreation Department?,Answer coming soon!
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,Do I need a Boulder County Health Certificate if the item I am selling is not for human consumption?,"Please see related question above. The MFV license is not a proper license type for this activity. Also, there may be other laws that prevent you from selling such items in certain areas, and you would need different types of permits. If you are selling treats or food for animals, you may also want to check the website for the Colorado state department of Agriculture, which oversees this activity. You will also want to reference the State of Colorado Revised Statutes dealing with your activity, which may include but not be limited to Article 60, Section 35."
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,Who can I call with specific food safety / Boulder County Health Department questions?,303.441.1100 is the main number for the Boulder County Health Department.
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,Do I need to re-apply for a sales tax license if I already have one?,"No, if you already have a MFV sales tax license, just attach a copy."
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,"I was already issued a catering sales tax license, do I need to apply for a MFV sales tax license?","Yes, you need the proper sales & use tax license for your business type, so you need to apply for a MFV license."
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,"If I already have a sales and use tax license for a different business name, can I just change it?","No, you need to apply with the correct business name and type that match your current business."
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,"Can we have a MFV in the library parking lot along Canyon, after the library is closed? If so, do we need to apply for a special event permit or some other permit?","Please see BRC Per ordinance 7787, ""mobile food vehicle sales may take place in other public property locations...but only as part of an approved organized event or street closure permit, and granted pursuant to the authority in section 4-18-2, ‘Public Property Use Permit,' B.R.C. 1981 or any other relevant code section.""  The ordinance also states that ""mobile food vehicle sales on public property or in the public right-of-way...must be in connection with an approved organized event permit pursuant to section 8-3-14, ""Permits for Organized Events,"" B.R.C. 1981...""  This indicates that it is possible for a MFV to operate on the Library property in conjunction with an organized event. As far as Public Property Use Permits, section 4-18-2(d) states: ""With regard to mobile food vehicle sales on public property or in the public right of way, any such permit obtained under this section must be in connection with an approved organized permit pursuant to section 8-3-14, ""Permits for Organized Events,"" B.R.C. 1981 or street closure permit pursuant to section 2-2-11, ""Traffic Engineering,"" B.R.C. 1981."" The Organized Event Permit must be obtained through Parks and Recreation, and has several standards that must be met, including submitting the application at least 14 days prior to the proposed event date."
Mobile Food Vehicles,"Licensing, Permits and Fees/Taxes",Finance ,"If I have permission from the property owner and event organizer to participate in a non-profit fundraiser or an organized special event, do I still need an MFV license to sell food?","Yes, according to city laws, you would still need a valid Boulder MFV license, a valid Boulder sales and use tax for business license, and if the event is on private property, you can only be parked to sell from the vehicle in proper and allowable zones in the city limits. You may be exempt from the allowable zones requirement if the event takes place on public property and you obtain the required city permission (see B.R.C. 9-6-5(d)(1)(B) and (C) and 9-6-5(d)(2)(A)."
Mosquitoes,Animals,Planning Housing and Sustainability ,Mosquitoes,"Please submit questions, complaints or concerns about mosquito activity and/or report areas of stagnant water on city-owned properties. Feel free to contact us to ask questions about mosquito management in general or to share ideas or feedback. You may find some of your questions answered in the information below: West Nile Virus Since 2003, the City of Boulder has had a Mosquito Control Program designed specifically to target the mosquitoes that can potentially transmit West Nile Virus (WNv) to humans. Boulder County Public Health also conducts a mosquito control program in areas outside of city limits and works closely with all cities in Boulder County to manage mosquitoes and educate the public about taking steps to reduce the risk of WNv transmission to humans. The City of Boulder uses a number of approaches to reduce the risk of WNV. Adult mosquitoes are trapped and tested for WNv and the estimated risk to people is calculated each week. Mosquito breeding sites are mapped on all city property and the mosquitoes that can carry WNv are treated with an effective larvicide when they are found. In addition: OSMP agricultural staff inspect ditches, maintain irrigation systems and work with agricultural lessees to manage irrigation water release to decrease standing water; Public Works staff respond to complaints about standing water, inspect, work with ditch companies and property owners to restore water flow, and improve infrastructure of storm water management systems; Grazing, mowing, controlled burns and vegetative restoration are used to decrease adult mosquito harborage sites; OSMP trails staff have been filling potholes on South Boulder Creek trails and have identified the area for a more significant capital project to restore the sub-grade and prevent future potholing; OSMP is undertaking a trail/irrigation drainage study to reduce unnecessary standing water on city open space; City ecology staff manage city properties to protect biodiversity to sustain populations of mosquito predators that naturally control large numbers of mosquitoes; and City wetland ecologists actively manage the city’s wetlands to enhance ecosystem function and create healthy wetland communities that naturally reduce mosquito activity.    Since these mosquitoes readily breed in standing water on private property, it's crucial that all Boulder and county residents do their part to reduce the risk to the community by regularly inspecting their properties and removing any standing water. The most important way to reduce your risk of getting WNV is to take personal protective measures to avoid mosquito bites. Please visit the Mosquito Control Program webpage for more information, including a video and West Nile Virus Fact Sheet with tips to mosquito-proof your property and protect yourself from mosquito bites. Nuisance mosquitoes: The City of Boulder treats limited sites to reduce the number of nuisance mosquitoes around several popular recreational areas, and the Greenbelt Meadows and San Lazaro neighborhoods. Sombrero Marsh, Burke II and the Kentucky Property, and wetland areas within Flatirons Golf Course, Boulder Reservoir, Stazio Ball Fields, East Boulder Community Park, Pleasantview Soccer Fields, Valmont City Park, and Christensen Park are included in this program. The Parks and Recreation Department employs other controls, including mosquito magnets and mowing at Stazio Ball Fields and Flatirons Golf Course, to further improve player comfort at these sites. Boulder County residents If you live outside the City of Boulder, visit the Boulder County Mosquito Control website for more information. To report mosquito activity in neighborhoods outside the Boulder City Limits, contact Boulder County's hotline at 303-273-2878 or toll free at 877.276.4306."
Mountain Lions,Animals,Planning Housing and Sustainability ,Mountain Lions,Colorado Parks and Wildlife has provided this list of Frequently Asked Questions in response to questions about mountain lion management in the City of Boulder.   Colorado Parks and Wildlife is responsible for the direct management of all wildlife in the state.
Mountain Lions,Animals,Planning Housing and Sustainability ,Why are there lions in Boulder?,"Wildlife requires, and will seek out, adequate habitat in order to survive.   The land surrounding Boulder including Open Space and Mountain Parks, US Forest Service property, Boulder County Open Space properties and the private land in mountain subdivisions all provide excellent habitat for lions.   Habitat can be described as four basic needs: food, shelter, water, and space.   Lions come into and use the City of Boulder from the surrounding areas because within the city limits all four of these needs ca be met.   Food is found in the form of deer, small mammals, livestock, and pets.   Shelter includes not only the heavy vegetation throughout the city in yards and along irrigation ditches, but also human-made shelter such as the spaces underneath decks.   There is an abundance of water, in ponds, ditches, and in backyard water features (fountains and backyard ponds).   Finally, space is available in backyards, parks, and in the ditches and creeks, which serve as ideal movement corridors for lions and other wildlife.   There are lions in Boulder because there is quality habitat in Boulder, and lions do not recognize city limits when seeking a living."
Mountain Lions,Animals,Planning Housing and Sustainability ,What do lions eat?,"Lions are opportunistic, predatory carnivores and will prey on a variety of large and small mammals, both wild and domestic.   In Colorado, lions most often prey on deer, but they will also kill and feed on other large mammals such as elk and bighorn sheep.   If left unprotected, domestic livestock such as llamas, ponies, goats, sheep and chickens can become food for lions.   Lions will also feed on a variety of small mammals such as raccoons, foxes, coyotes, squirrels, and domestic pets.   To minimize conflicts between domestic animals and lions, livestock should be kept in secure, fully enclosed structures, especially near dawn, dusk, and throughout the nighttime hours.   When allowed outdoors, pets should be closely supervised or kept in secure enclosures (with a roof) at all times."
Mountain Lions,Animals,Planning Housing and Sustainability ,What is a cache and what does it look like?,"A cache is the carcass of something that a lion has killed.   Lions sometimes drag their kill a short distance to a place they feel is protected before they start to feed on it.   When a lion is finished feeding, it will partially cover, or “cache” the kill by scraping the ground substrate (eg. pine needles, twigs, leaves or dirt) over the carcass.   The lion may leave the area until the next feeding, or may guard the cache and stay very close to it.   Depending on the size of the kill, the lion may return periodically for several days to feed on the carcass.   If you see a carcass that looks like it may have been cached, stay away from the carcass and call the Boulder Police non-emergency number at 303-441-3333 (anytime) or Colorado Parks and Wildlife at 303-291-7227 (business hours – 8:00 – 5:00)."
Mountain Lions,Animals,Planning Housing and Sustainability ,Why can’t Colorado Parks and Wildlife (CPW) take all of lions out of town and keep them out?,"There is no feasible way to keep lions out of the City of Boulder and due to the often unpredictable nature of wildlife, there are not always opportunities to remove each lion from the city before that lion leaves on its own.    When appropriate, CPW officers will attempt to capture lions either by tranquillizing them with a dart gun, by using a baited trap, or using other techniques.   Officers may also attempt to haze lions out of the city using tools such as rubber buckshot.   Hazing, capture and/or relocation may not be appropriate, practical, or successful in every situation.   When a mountain lion is relocated two outcomes are possible: either the relocated lion returns to its former range, or a different lion moves into the vacated territory which may include a portion of the City of Boulder.    Additionally, lions can jump over very high fences and there are no proven techniques to exclude mountain lions from large areas like the City of Boulder."
Mountain Lions,Animals,Planning Housing and Sustainability ,What does Colorado Parks and Wildlife (CPW) do about lions in town?,"The CPW follows a statewide directive when responding to mountain lions in the City of Boulder.   Each situation is dynamic and unique as to what actions are appropriate, safe and effective when dealing with a particular lion in a particular location.   In addition, CPW does not have the opportunity to take action on every lion that comes into town as lions often return on their own to the foothills west of the City.   Given the fact that situations involving wildlife are never the same and outcomes are rarely predictable there are no cut and dried answers for dealing with lions in town, but generally speaking the following are true:  if a lion sighting is reported in the City of Boulder an officer will respond and attempt to locate the lion.   This could be a CPW officer, a City of Boulder Open Space and Mountain Parks ranger, an animal control officer, or a police officer. While responding to the initial call and during the follow up CPW officers and City of Boulder officers work together to provide the most timely and appropriate level of response necessary.   Public safety is always the primary consideration in determining the appropriate response on lions in Boulder.      If a lion is located a CPW officer will respond and, depending on each individual situation, may attempt to haze the lion out of town or tranquilize the lion using a tranquilizer dart gun.   If a lion kills a deer or other wildlife in a yard in the city and “caches” it, a wildlife officer, only with permission from the homeowner, may set a trap and attempt to trap and relocate the lion.   CPW will kill lions that are aggressive towards people, or lions that are determined to be dangerous.   Additionally, the CPW makes every reasonable attempt to notify and educate neighbors and neighborhoods about lions in town by posting signs, knocking on doors, and providing information on neighborhood websites.   CPW and the City of Boulder are always working together to develop the most efficient avenues of notification and continue to try to improve communication about lions and lion activity. Boulder residents and visitors should be aware that a lion may be encountered at any time and should always take appropriate precautions to minimize conflicts with lions."
Mountain Lions,Animals,Planning Housing and Sustainability ,Is Colorado Parks and Wildlife (CPW) waiting until someone is injured or killed before doing something about the lions?,"CPW and City of Boulder officers that work in and around Boulder are committed to doing whatever they can to protect people and pets from mountain lions.    They currently do so not only by educating and informing residents of Boulder but also by hazing, tranquilizing, trapping, and relocating lions when appropriate and feasible, and killing individual lions when necessary.   Unfortunately, CPW cannot exclude lions from the city and cannot completely eliminate all risk to people and pets from mountain lions. Therefore, to minimize the risk of lion conflicts it is essential that residents and visitors to Boulder be vigilant and responsive to lion activity in their community.   CPW continues to encourage the thoughtful discussion between neighbors, CPW, and the City of Boulder on what can be done to discourage the presence of lions in the city and what measures people can take knowing that lions may be present at any time."
Mountain Lions,Animals,Planning Housing and Sustainability ,What are the risks to humans from lions?,"In Colorado, there have been 2 confirmed deaths and 1 suspected death caused by mountain lions.   All three have occurred since 1990, and all of these incidents occurred in undeveloped areas away from towns.   In Boulder, the natural areas surrounding the city experience high visitation (an estimated 4.7 million visits to city Open Space and Mountain Parks (OSMP) property during a 12-month period in 2004 and 2005[1]) and there has been one reported attack on OSMP property which occurred in 2006.   Four additional people were injured by mountain lions in Boulder County between 1990 and 2000, all of which also occurred outside the Boulder city limits.   Across the wider range of mountain lions in the western United States and Canada, attacks on humans are also very rare.    There has been an average of 0.2 annual human deaths in all of North America from mountain lions between 1900 and 2007.   This number is very low compared to annual deaths from black widow spiders (1.4 between 1950-1989), domestic dogs (16 between 1979-1998) and car crashes (45,000 between 1980-2005).    While the risk of a lion attack is very low, there is still a risk associated with living or recreating in lion habitat.   The obvious facts to take into account are that lions are predators, they prey on large mammals, and throughout their range they have on very rare occasions been responsible for some human injuries and deaths.   It is up to individuals to balance these facts and decide it means to them, how they fit into an individual’s daily risk management, and what steps they are willing to take to mitigate those risks."
Mountain Lions,Animals,Planning Housing and Sustainability ,What can I do to keep myself/my kids safe? Can my kids play outside and walk to school unsupervised?,"The most important thing you can do to reduce the risk to you and your family is to be aware that mountain lions are, at times, present in the City of Boulder.   The next step is to educate yourself and everyone in your house about mountain lions.   A great place to start is on the CPW website: http://cpw.state.co.us/learn/Pages/LivingwithWildlifeLion1.aspx     Colorado Parks and Wildlife recommends that children be supervised when outside in lion, bear and coyote habitat.   The risk of injury or death to humans from lions, including children, is very low, however there is a minimal level of risk that cannot be completely eliminated in Boulder.    Some parents feel most comfortable when their children are directly supervised by an adult at all times.   Depending on the child’s age and maturity, others feel comfortable educating their children on what to do if they see a lion and allow their children to walk to school or play outside with a group of friends.   Some parents give their child a whistle or air horn to signal a problem or concern (wildlife or otherwise) if they are playing outside without an adult immediately present.   Teach your children to be aware of wildlife and what to do if they encounter wildlife.   Practicing scenarios ahead of time can better prepare children for an unexpected encounter with various wildlife species, including mountain lions.    Adults may decide to do more or less than what is recommended.   There are many decisions we make every day to minimize a variety of risks to our children, our pets, and ourselves.   In Boulder, there is the extra necessity of considering the risks from wildlife when making those decisions. Each individual, pet owner, and parent must evaluate the risk for themselves and make the decisions they find to be most appropriate."
Mountain Lions,Animals,Planning Housing and Sustainability ,What can I do to keep my pets safe?,"There are actions you can take to reduce the risk to your pets from mountain lions.   First, it is important to note that lions routinely kill deer and other large mammals for food and have killed dogs as large as a Great Pyrenees. Therefore, don’t assume because you have a large dog that it is safe.   Colorado Parks and Wildlife recommends that you always supervise your pets when they are outside.   Most pets are attacked near dusk, during the night, and near dawn.   Therefore, if your dog needs to go outside during these hours put it on a leash and go with it — carry a flash light, talk in a loud voice, and carefully look around your backyard before you go out.   If you must leave your pet unattended outside, build a fully enclosed kennel (including a roof or sturdy fencing on top).   Finally, keep your cat indoors.   Cats face risks not only from mountain lions but also foxes, owls, and coyotes.   Keeping them indoors is the only way to keep house cats safe."
Mountain Lions,Animals,Planning Housing and Sustainability ,How can I discourage lions coming onto or near my property?,"If you remove what is considered to be habitat from your property you will reduce the incentive for a lion to come onto your property.   This habitat can be described as four basic needs.    The first is food.   Mule deer make up a large proportion of a lion’s diet.   By planting vegetation that deer do not like to eat or by using landscaping products meant to exclude deer you can remove a primary attractant.   That said, lions will also eat raccoons and small mammals.   By securing your garbage properly and blocking off access to places animals might choose to den, you will also exclude species that make up the rest of a lion’s diet.   Additionally, do not feed wildlife.   Feeding deer and fox not only has the potential to attract mountain lions to your yard but is illegal in the City of Boulder.     Next is water. Water features in a backyard are huge attractants for a variety of wildlife including lions.   If you don’t want lions in your backyard then you should not have water features.     The last two needs for habitat are shelter and space.   To limit these you should eliminate any places in your yard that serve as good hiding places.   Lions are ambush predators and stalk prey from cover. Low lying, large bushes and shrubs, spaces under decks, or any place that wildlife can rest comfortably without being seen should be removed or blocked off.   Installing outside lighting can help you see a lion if it is on your property, and may make it less inviting."
Mountain Lions,Animals,Planning Housing and Sustainability ,Are there more lions in town now than in the past?,"Some long-time residents believe so... Unfortunately, Colorado Parks and Wildlife (CPW) does not have data to definitively answer this question.   Some long-time residents of Boulder have expressed that they had rarely heard of or seen a mountain lion in the city until the recent past.   Others say that they have always known that lions come into the city from time to time.   Because so many factors affect the behavior and movement of wildlife and people’s perception of it, it is very difficult to do any more than speculate as to why reported, perceived, or actual lion activity in Boulder has increased.   Lion sightings and/or pet attacks in the City of Boulder can occur sporadically, or in clusters.    Several months may pass without a single report of a lion in the City, or several reports may be received in a single week.    The clusters of activity may be caused by one lion, or by different lions."
Mountain Lions,Animals,Planning Housing and Sustainability ,Will I encounter lions east of Broadway?,"Lions occasionally travel east of Broadway, though sightings on the west side of Boulder near the foothills are much more common.   In recent years lions have been confirmed in areas such as Gunbarrel, Lafayette, Longmont, Firestone, Aurora, eastern Colorado and some Midwestern states.   Anyone residing in or visiting the City of Boulder should be aware that they may encounter a lion at any time and in any neighborhood.   See lion activity map for confirmed lion sightings and activity in the city between March and July 2009."
Mountain Lions,Animals,Planning Housing and Sustainability ,Are the lions that are moving and hunting near homes and people in the city becoming so habituated to people that they pose an elevated risk? If a lion is brazen enough to kill a pet in a backyard isn’t its next logical prey a human?,"Numbers have shown that throughout their range lions choose to prey on deer and other four legged animals and despite ample opportunity, not on humans.   For us, it is more logical to think of our pets as a member of our human family, but to a lion your dog shares much more in common with a normal prey item such as a raccoon.    The Cougar Management Guidelines Working Group stated in 2005 that there was no scientific evidence to indicate that cougar habituation to humans affects the risk of attack.   So while mountain lions may be more visible in the City and pets are certainly at an elevated risk there is nothing to suggest that this habituation increases the existing risk to people from mountain lions."
Mountain Lions,Animals,Planning Housing and Sustainability ,When are lions most active? Is it unusual to see a lion in the middle of the day?,"Lions are most active near dusk, dawn, and anytime throughout the night.   This is when they are typically moving and hunting for prey and this is when the majority of sightings, encounters and conflicts, such pet attacks, occur.   Lions can be active at any time of day or night, however, and it is not unusual or abnormal for lions to be spotted moving or hunting during daylight hours."
Mountain Lions,Animals,Planning Housing and Sustainability ,What does it mean if a lion has eartags and/or a collar? Are you tracking lions?,"Eartags are placed on wildlife that have been previously captured for any reason.   Lions are typically moved due to being in an inappropriate location (such as within the City limits of Boulder), because they were orphaned and needed to be rehabilitated before release, or because of nuisance behavior.   The eartag colors depend on the circumstance of capture, but typically in the northeast region of the state, lions will have green eartags.     Colorado Parks and Wildlife conducted a Front Range Mountain Lion Research Study between 2008 and 2015.   Lions that were captured and put into the study will have eartags, as well as a collar with GPS capabilities.   Some goals of the study included finding ways to get better lion population estimates, getting a better understanding of how lions utilize habitat to move between urban fringe areas and more rural, open lands within their home ranges, and finding ways to minimize human-lion conflicts.   More information on the study can be found at: http://cpw.state.co.us/learn/Pages/ResearchMammalsRP-12.aspx"
Mountain Lions,Animals,Planning Housing and Sustainability ,"If Colorado Parks and Wildlife wants to capture a lion, what methods are used?","Whether or not capture efforts are initiated, and what methods might be used, depends on the location and the totality of the circumstances surrounding the activity.   Many times when a sighting is reported the lion typically leaves the area on its own without incident and is therefore unable to be located.   If a lion has a cache that can be located, a live box trap may be set using the cache as bait, since the lion will likely return to feed on the cache at some point.   If a lion is free-roaming in the City of Boulder, we may attempt to tranquilize it if we can locate it and get close enough to effectively shoot it with a dart.   Hounds may be used in limited situations if there is an injury to a human from a lion.   When hounds are used they are carefully controlled to minimize risk of injury to the lion or hounds."
Mountain Lions,Animals,Planning Housing and Sustainability ,Who should I call when I see a lion?,"For general mountain lion information, including recommended precautions for living in Mountain Lion country, call: Colorado Parks and Wildlife – (303) 291-7227 or visit http://cpw.state.co.us/learn/Pages/LivingwithWildlifeLion1.aspx    To report sightings within the City of Boulder, call: Boulder Police non-emergency number – (303) 441-3333 OR Colorado Parks and Wildlife (business hours) –(303) 291-7227   To report encounters, a stationary lion, or pet attacks within the City of Boulder, call: Boulder Police non-emergency number – (303) 441-3333   Call 911 in the event of an immediate human safety issue, or if a human is injured by any wildlife."
Mountain Lions,Animals,Planning Housing and Sustainability ,When should I call about a lion?,"You can call anytime to report sightings, tracks, or to request information on lions and other wildlife.   The City of Boulder and Colorado Parks Wildlife would like to be made aware of sightings within the City limits (especially lions that are stationary for a period of time), pet attacks, and carcasses that appear to be caches.   Any human injury caused by wildlife should be reported immediately by calling 911."
Multi-use Path Maintenance,Transportation,Public Works ,Multi-use Path Maintenance,"To report a multi-use path maintenance related problem that is an immediate public safety hazard, please call 303-441-3200 between 7 a.m. and 5:00 p.m. Monday-Friday. At any other time, please call dispatch at 303-441-3333. For all other multi-use path maintenance issues, including vegetation issues along paths, underpass issues and path surface issues you may submit a service request for this item in the 'Make a Service Request' area below. Please note that the Broadway multi-use path between University Avenue and Regent Drive is maintained by the University of Colorado - please contact CU at 303-492-5522 with any concerns regarding this multi-use path."
Neighborhood Eco Pass,Transportation,Public Works ,How do I join an Eco Pass Neighborhood?,"Look at the Neighborhood Eco (NECO) Pass area map to see if you live in an existing NECO Pass area. If you do reside within a NECO boundary, contact the NECO Pass Program Coordinator, let them know the name of the NECO neighborhood you live in and they will give you that neighborhood's coordinator contact info who can sign you up to get an Eco Pass. If you DO NOT reside in an existing NECO Pass area, you can start an Eco Pass program in your neighborhood. Please read the GO Boulder and RTD documents on how to start a Neighborhood Eco (NECO) Pass Program. If you feel you have enough interest in your neighborhood to meet the RTD requirements, please contact GO Boulder or the NECO Pass Program Coordinator and let them know you would like to start a NECO Pass Program in your neighborhood."
Neighborhood Eco Pass,Transportation,Public Works ,How do I Replace a Lost or Stolen Pass?,"If your NECO Pass has been lost or stolen, you will be charged $10 per pass. This can be paid by cash, check or money order only, at the Boulder Transit Station."
Neighborhood Eco Pass,Transportation,Public Works ,Where can I learn more about the NECO Pass Program?,Visit the NECO Pass Program Resources webpage.
News,General Information,City Manager ,News,"To sign up for City of Boulder press releases with the latest community news, visit the City of Boulder Newsroom."
No Water/Service Disruptions,Water and Sewer,Public Works ,No Water/Service Disruptions,"From time-to-time there are planned and unplanned events in the city's water distribution system that may result in temporary water outages for customers. Common causes of outages are main breaks, service line breaks, planned water main maintenance or water main replacement. The city notifies customers in advance of planned water shutdowns but is unable to provide advance notice for unplanned or emergency events such as a main break. To report a water service disruption, please call 303-441-3200 between 7 a.m. and 5:00 p.m., Monday-Friday. At any other time, please call 303-441-3245. Please ALWAYS call the listed phone numbers to report a water outage and do not report via Inquire Boulder.   This system is not designed to manage urgent and emergency service requests and is NOT monitored 24-7.For maintenance problems such as frozen pipes indoors or no hot water, please contact a private plumber. The city also offers an interactive web map called Water Distribution Info Center that displays locations and live information about planned and unplanned water shutoffs, including main breaks and annual water utility projects."
North Boulder Subcommunity Plan,"Building Permits and Inspections, Planning and Zoning",Planning Housing and Sustainability ,What do you like about North Broadway and what do you see as the key opportunities? What don't you like about North Brodway and what would you change?,"If you would like to comment on the North Boulder Subcommunity Plan, select the ""Make a Service Request"" button below. City staff are asking for your input on the following questions."
Open Data,Open Data,Innovation and Technology ,Open Data,"The purpose of the open data program is to increase public access to high value, machine readable datasets generated by the City of Boulder. We invite you to actively participate in shaping the future of Boulder's open data efforts by browsing the open data catalog, contacting us to suggest additional datasets and building applications with the available data."
Open Space Rules and Regulations,Open Space and Trails,Open Space and Mountain Parks ,Open Space Rules and Regulations,"Open Space and Mountain Parks (OSMP) rules and regulations are designed for the enjoyment and protection of this unique resource. Please take the time to read posted regulations at each trailhead, as they vary by area. You are responsible for knowing and obeying all OSMP regulations. Rangers patrol OSMP land and will issue citations for violations, which may result in summons and/or fines. Learn more about OSMP Rules and Regulations. Competitive events are prohibited on Open Space and Mountain Parks properties. Fundraisers are prohibited on Open Space and Mountain Parks (OSMP) property unless there is a City of Boulder sponsor. A city sponsor is a full-time, permanent city employee who serves as a representative for the trip. Hunting is not allowed on Open Space and Mountain Parks (OSMP) lands. Motorized recreation is not allowed on Open Space and Mountain Parks (OSMP) lands, with the exception of motorized wheelchairs."
Other - Miscellaneous,Help - Cannot Find My Topic,Communication ,Other - Miscellaneous,"If you cannot find the topic that pertains to your question or issue, please make a service request or call 303-441-3388."
